date,building,zone,usage_liters,temperature_c,rainfall_mm,is_anomaly,day_of_week,month
2026-01-01,Block A,Hostel Zone,44329,19.6,1.5,0,Thursday,January
2026-01-01,Block B,Hostel Zone,46455,20.8,8.4,0,Thursday,January
2026-01-01,Block C,Hostel Zone,39324,21.6,2.6,0,Thursday,January
2026-01-01,Block D,Hostel Zone,40306,22.4,0.9,0,Thursday,January
2026-01-01,Admin Block,Admin Zone,9884,15.8,2.4,0,Thursday,January
2026-01-01,Library,Academic Zone,7446,20.4,2.7,0,Thursday,January
2026-01-01,Cafeteria,Recreation Zone,12683,19.1,1.7,0,Thursday,January
2026-01-02,Block A,Hostel Zone,42083,19.3,5.6,0,Friday,January
2026-01-02,Block B,Hostel Zone,46057,14.1,4.9,0,Friday,January
2026-01-02,Block C,Hostel Zone,43741,17.0,0.9,0,Friday,January
2026-01-02,Block D,Hostel Zone,41919,23.2,1.5,0,Friday,January
2026-01-02,Admin Block,Admin Zone,10773,21.7,7.7,0,Friday,January
2026-01-02,Library,Academic Zone,6629,19.1,0.9,0,Friday,January
2026-01-02,Cafeteria,Recreation Zone,14496,23.5,1.9,0,Friday,January
2026-01-03,Block A,Hostel Zone,28260,23.0,8.2,0,Saturday,January
2026-01-03,Block B,Hostel Zone,32122,30.1,1.8,0,Saturday,January
2026-01-03,Block C,Hostel Zone,27429,19.1,7.8,0,Saturday,January
2026-01-03,Block D,Hostel Zone,29060,17.6,7.1,0,Saturday,January
2026-01-03,Admin Block,Admin Zone,6646,18.5,6.0,0,Saturday,January
2026-01-03,Library,Academic Zone,5176,24.1,4.8,0,Saturday,January
2026-01-03,Cafeteria,Recreation Zone,8383,19.0,9.8,0,Saturday,January
2026-01-04,Block A,Hostel Zone,52982,15.8,3.0,1,Sunday,January
2026-01-04,Block B,Hostel Zone,31294,19.5,13.7,0,Sunday,January
2026-01-04,Block C,Hostel Zone,27620,14.2,4.1,0,Sunday,January
2026-01-04,Block D,Hostel Zone,29253,18.7,3.6,0,Sunday,January
2026-01-04,Admin Block,Admin Zone,7277,23.4,7.1,0,Sunday,January
2026-01-04,Library,Academic Zone,4433,24.2,6.4,0,Sunday,January
2026-01-04,Cafeteria,Recreation Zone,10439,17.0,2.6,0,Sunday,January
2026-01-05,Block A,Hostel Zone,92535,22.6,6.6,1,Monday,January
2026-01-05,Block B,Hostel Zone,40868,21.9,3.7,0,Monday,January
2026-01-05,Block C,Hostel Zone,38298,19.0,3.1,0,Monday,January
2026-01-05,Block D,Hostel Zone,45460,24.1,18.9,0,Monday,January
